"","movieCd","movieNm","dom_or_for","nation","genre","reopen","year","month","date","openDt","salesAmt","salesPeak","salesTotal","audiCnt","audiPeak","audiTotal","showCnt","sales_per_show","audi_per_show","show_per_scrn","sales_over10b","audi_over5m"
"35","20176442","자전차왕 엄복동","국내","한국","드라마","초개봉",2019,3,2019-03-04,2019-02-27,44010290,295987110,1253020790,5959,35351,165532,1043,42195.8676893576,5.71332694151486,2.15495867768595,"under",FALSE
"36","20180937","더 페이버릿: 여왕의 여자","해외","미국","드라마","초개봉",2019,3,2019-03-04,2019-02-21,33653520,116226950,1179520730,4268,13111,140675,260,129436.615384615,16.4153846153846,2.36363636363636,"under",FALSE
"37","20184574","그린 북","해외","미국","드라마","초개봉",2019,3,2019-03-04,2019-01-09,25886200,93878724,3689881360,3254,10469,441993,203,127518.226600985,16.0295566502463,1.57364341085271,"under",FALSE
"38","20195743","신데렐라:마법 반지의 비밀","해외","미국","애니메이션","초개봉",2019,3,2019-03-04,2019-02-20,21022600,208996810,2090550630,2895,26834,281705,347,60583.8616714697,8.34293948126801,1.33461538461538,"under",FALSE
"39","20195791","어쩌다, 결혼","국내","한국","멜로/로맨스","초개봉",2019,3,2019-03-04,2019-02-27,18819280,129530419,578566649,2396,14964,75603,611,30800.7855973813,3.92144026186579,1.73579545454545,"under",FALSE
"40","20195789","빠삐용","해외","미국","범죄","초개봉",2019,3,2019-03-04,2019-02-27,16688650,16688650,261466850,2176,2176,32759,302,55260.4304635762,7.20529801324503,1.65027322404372,"under",FALSE
"41","20196601","항거:유관순 이야기","국내","한국","드라마","초개봉",2019,3,2019-03-05,2019-02-27,278161900,2195096671,9185709011,35164,262491,1141083,3790,73393.6411609499,9.27810026385224,4.21111111111111,"under",FALSE
"42","20177539","사바하","국내","한국","기타","초개봉",2019,3,2019-03-05,2019-02-20,275004010,1654706831,19978963414,33650,186751,2394285,3315,82957.4690799397,10.1508295625943,3.97959183673469,"over",FALSE
"43","20182530","극한직업","국내","한국","코미디","초개봉",2019,3,2019-03-05,2019-01-23,206317910,1190333970,139565890466,25684,134879,16252575,2405,85787.0727650728,10.6794178794179,3.87903225806452,"over",TRUE
"44","20185881","증인","국내","한국","드라마","초개봉",2019,3,2019-03-05,2019-02-13,194195930,1272099600,20426848871,24411,148186,2527267,2945,65940.8930390492,8.28896434634975,3.56537530266344,"over",FALSE
"45","20176442","자전차왕 엄복동","국내","한국","드라마","초개봉",2019,3,2019-03-05,2019-02-27,41075050,295987110,1253020790,5243,35351,165532,1027,39995.1801363194,5.10516066212269,2.20386266094421,"under",FALSE
"46","20180937","더 페이버릿: 여왕의 여자","해외","미국","드라마","초개봉",2019,3,2019-03-05,2019-02-21,31440620,116226950,1179520730,4055,13111,140675,260,120925.461538462,15.5961538461538,2.34234234234234,"under",FALSE
"47","20184574","그린 북","해외","미국","드라마","초개봉",2019,3,2019-03-05,2019-01-09,30496440,93878724,3689881360,3965,10469,441993,225,135539.733333333,17.6222222222222,1.55172413793103,"under",FALSE
"48","20195791","어쩌다, 결혼","국내","한국","멜로/로맨스","초개봉",2019,3,2019-03-05,2019-02-27,18569890,129530419,578566649,2380,14964,75603,626,29664.3610223642,3.80191693290735,1.7103825136612,"under",FALSE
"49","20185350","칠곡 가시나들","국내","한국","기타","초개봉",2019,3,2019-03-05,2019-02-27,16100300,16100300,269776400,2073,2073,31472,216,74538.4259259259,9.59722222222222,1.67441860465116,"under",FALSE
"50","20195789","빠삐용","해외","미국","범죄","초개봉",2019,3,2019-03-05,2019-02-27,15934000,16688650,261466850,2055,2176,32759,295,54013.5593220339,6.96610169491525,1.6120218579235,"under",FALSE
"51","20181877","캡틴 마블","해외","미국","액션","초개봉",2019,3,2019-03-06,2019-03-06,3957930530,9080401749,51459630433,461134,1001712,5797321,11021,359126.261682243,41.8413937029308,5.4640555280119,"over",TRUE
"52","20196601","항거:유관순 이야기","국내","한국","드라마","초개봉",2019,3,2019-03-06,2019-02-27,163282050,2195096671,9185709011,20715,262491,1141083,1906,85667.3924449108,10.8683105981112,3.17666666666667,"under",FALSE
"53","20177539","사바하","국내","한국","기타","초개봉",2019,3,2019-03-06,2019-02-20,132256680,1654706831,19978963414,15911,186751,2394285,1444,91590.4986149584,11.0186980609418,2.75572519083969,"over",FALSE
"54","20185881","증인","국내","한국","드라마","초개봉",2019,3,2019-03-06,2019-02-13,120170330,1272099600,20426848871,15115,148186,2527267,1607,74779.2968263846,9.40572495332919,2.86964285714286,"over",FALSE
"55","20182530","극한직업","국내","한국","코미디","초개봉",2019,3,2019-03-06,2019-01-23,97516410,1190333970,139565890466,12235,134879,16252575,902,108111.319290466,13.5643015521064,1.96086956521739,"over",TRUE
"56","20176103","돈","국내","한국","범죄","초개봉",2019,3,2019-03-06,2019-03-20,34207000,4347824286,28858356362,3999,480709,3387540,19,1800368.42105263,210.473684210526,1,"over",FALSE
"57","20180937","더 페이버릿: 여왕의 여자","해외","미국","드라마","초개봉",2019,3,2019-03-06,2019-02-21,26240480,116226950,1179520730,3273,13111,140675,189,138838.518518519,17.3174603174603,2.14772727272727,"under",FALSE
"58","20184574","그린 북","해외","미국","드라마","초개봉",2019,3,2019-03-06,2019-01-09,16792350,93878724,3689881360,2138,10469,441993,123,136523.170731707,17.3821138211382,1.41379310344828,"under",FALSE
"59","20195943","브라더 오브 더 이어","해외","기타","코미디","초개봉",2019,3,2019-03-06,2019-03-07,11961000,11961000,18954000,1329,1329,2106,6,1993500,221.5,1,"under",FALSE
"60","20196323","더 와이프","해외","영국","드라마","초개봉",2019,3,2019-03-06,2019-02-27,8283430,15554160,213073567,1138,1843,26884,70,118334.714285714,16.2571428571429,1.32075471698113,"under",FALSE
